displayLabel|County|avgIncome:float|error:float|stateCounty
United States - Alaska - Nome Census Area|Nome Census Area|53899|5457|AK-Nome Census Area
United States - Alaska - North Slope Borough|North Slope Borough|68517|6005|AK-North Slope Borough
United States - Alaska - Northwest Arctic Borough|Northwest Arctic Borough|55217|3990|AK-Northwest Arctic Borough
United States - Alaska - Petersburg Census Area|Petersburg Census Area|62317|8919|AK-Petersburg Census Area
United States - Alaska - Prince of Wales-Hyder Census Area|Prince of Wales-Hyder Census Area|45728|2840|AK-Prince of Wales-Hyder Census Area
United States - Alaska - Sitka City and Borough|Sitka City and Borough|62024|3816|AK-Sitka City and Borough
United States - Alaska - Skagway Municipality|Skagway Municipality|73500|10180|AK-Skagway Municipality
United States - Alaska - Southeast Fairbanks Census Area|Southeast Fairbanks Census Area|59596|7072|AK-Southeast Fairbanks Census Area
United States - Alaska - Valdez-Cordova Census Area|Valdez-Cordova Census Area|60383|7783|AK-Valdez-Cordova Census Area
United States - Alaska - Wade Hampton Census Area|Wade Hampton Census Area|37955|2035|AK-Wade Hampton Census Area
United States - Alaska - Wrangell City and Borough|Wrangell City and Borough|50389|5242|AK-Wrangell City and Borough
United States - Alaska - Yakutat City and Borough|Yakutat City and Borough|65750|26367|AK-Yakutat City and Borough
United States - Alaska - Yukon-Koyukuk Census Area|Yukon-Koyukuk Census Area|33712|2917|AK-Yukon-Koyukuk Census Area
United States - Arizona|Arizona|50448|217|-Arizona
United States - Arizona - Apache County|Apache County|30184|1368|AZ-Apache County
United States - Arizona - Cochise County|Cochise County|44876|1551|AZ-Cochise County
United States - Arizona - Coconino County|Coconino County|49510|1484|AZ-Coconino County
United States - Arizona - Gila County|Gila County|37580|2160|AZ-Gila County
United States - Arizona - Graham County|Graham County|41683|3124|AZ-Graham County
United States - Arizona - Greenlee County|Greenlee County|48696|2912|AZ-Greenlee County
United States - Arizona - La Paz County|La Paz County|32147|2694|AZ-La Paz County
United States - Arizona - Maricopa County|Maricopa County|55054|334|AZ-Maricopa County
United States - Arizona - Mohave County|Mohave County|39785|915|AZ-Mohave County
United States - Arizona - Navajo County|Navajo County|39774|1908|AZ-Navajo County
United States - Arizona - Pima County|Pima County|45521|546|AZ-Pima County
United States - Arizona - Pinal County|Pinal County|51310|1076|AZ-Pinal County
United States - Arizona - Santa Cruz County|Santa Cruz County|36519|2832|AZ-Santa Cruz County
United States - Arizona - Yavapai County|Yavapai County|43290|882|AZ-Yavapai County
United States - Arizona - Yuma County|Yuma County|40340|1162|AZ-Yuma County
United States - Arkansas|Arkansas|39267|283|-Arkansas
United States - Arkansas - Arkansas County|Arkansas County|37230|2571|AR-Arkansas County
United States - Arkansas - Ashley County|Ashley County|34934|2270|AR-Ashley County
United States - Arkansas - Baxter County|Baxter County|35606|1764|AR-Baxter County
United States - Arkansas - Benton County|Benton County|50434|988|AR-Benton County
United States - Arkansas - Boone County|Boone County|36977|2294|AR-Boone County
United States - Arkansas - Bradley County|Bradley County|29908|3679|AR-Bradley County
United States - Arkansas - Calhoun County|Calhoun County|32450|3981|AR-Calhoun County
United States - Arkansas - Carroll County|Carroll County|34235|2677|AR-Carroll County
United States - Arkansas - Chicot County|Chicot County|21676|2175|AR-Chicot County
United States - Arkansas - Clark County|Clark County|31968|3369|AR-Clark County
United States - Arkansas - Clay County|Clay County|29066|2817|AR-Clay County
United States - Arkansas - Cleburne County|Cleburne County|35753|2697|AR-Cleburne County
United States - Arkansas - Cleveland County|Cleveland County|36957|6126|AR-Cleveland County
United States - Arkansas - Columbia County|Columbia County|35148|3134|AR-Columbia County
United States - Arkansas - Conway County|Conway County|32700|3265|AR-Conway County
United States - Arkansas - Craighead County|Craighead County|39233|1612|AR-Craighead County
United States - Arkansas - Crawford County|Crawford County|40197|2040|AR-Crawford County
United States - Arkansas - Crittenden County|Crittenden County|33716|1384|AR-Crittenden County
United States - Arkansas - Cross County|Cross County|37021|2060|AR-Cross County
United States - Arkansas - Dallas County|Dallas County|29602|2865|AR-Dallas County
United States - Arkansas - Desha County|Desha County|29051|3170|AR-Desha County
United States - Arkansas - Drew County|Drew County|32558|2922|AR-Drew County
United States - Arkansas - Faulkner County|Faulkner County|45287|1872|AR-Faulkner County
United States - Arkansas - Franklin County|Franklin County|32064|2700|AR-Franklin County
United States - Arkansas - Fulton County|Fulton County|30598|2805|AR-Fulton County
United States - Arkansas - Garland County|Garland County|36844|1213|AR-Garland County
United States - Arkansas - Grant County|Grant County|51589|2696|AR-Grant County
United States - Arkansas - Greene County|Greene County|38209|2003|AR-Greene County
United States - Arkansas - Hempstead County|Hempstead County|35708|2200|AR-Hempstead County
United States - Arkansas - Hot Spring County|Hot Spring County|37150|1964|AR-Hot Spring County
United States - Arkansas - Howard County|Howard County|34554|2974|AR-Howard County
United States - Arkansas - Independence County|Independence County|34625|1574|AR-Independence County
United States - Arkansas - Izard County|Izard County|31673|1830|AR-Izard County
United States - Arkansas - Jackson County|Jackson County|27615|4440|AR-Jackson County
United States - Arkansas - Jefferson County|Jefferson County|35998|1181|AR-Jefferson County
United States - Arkansas - Johnson County|Johnson County|30592|2073|AR-Johnson County
United States - Arkansas - Lafayette County|Lafayette County|27515|4319|AR-Lafayette County
United States - Arkansas - Lawrence County|Lawrence County|30288|2898|AR-Lawrence County
United States - Arkansas - Lee County|Lee County|30494|5594|AR-Lee County
United States - Arkansas - Lincoln County|Lincoln County|35737|4429|AR-Lincoln County
United States - Arkansas - Little River County|Little River County|33416|2728|AR-Little River County
United States - Arkansas - Logan County|Logan County|37551|2612|AR-Logan County
United States - Arkansas - Lonoke County|Lonoke County|50757|1762|AR-Lonoke County
United States - Arkansas - Madison County|Madison County|36502|3838|AR-Madison County
United States - Arkansas - Marion County|Marion County|34109|2862|AR-Marion County
United States - Arkansas - Miller County|Miller County|40307|1961|AR-Miller County
United States - Arkansas - Mississippi County|Mississippi County|33407|2755|AR-Mississippi County
United States - Arkansas - Monroe County|Monroe County|29964|3414|AR-Monroe County
United States - Arkansas - Montgomery County|Montgomery County|35705|3720|AR-Montgomery County
