zip|type|primary_city|state|county|stateCounty
00917|STANDARD|San Juan|PR| |PR-
00918|STANDARD|San Juan|PR| |PR-
00919|PO BOX|San Juan|PR| |PR-
00920|STANDARD|San Juan|PR| |PR-
00921|STANDARD|San Juan|PR| |PR-
00922|PO BOX|San Juan|PR| |PR-
00923|STANDARD|San Juan|PR| |PR-
00924|STANDARD|San Juan|PR| |PR-
00925|STANDARD|San Juan|PR| |PR-
00926|STANDARD|San Juan|PR| |PR-
00927|STANDARD|San Juan|PR| |PR-
00928|PO BOX|San Juan|PR| |PR-
00929|PO BOX|San Juan|PR|San Juan|PR-San Juan
00930|PO BOX|San Juan|PR| |PR-
00931|PO BOX|San Juan|PR|San Juan|PR-San Juan
00933|PO BOX|San Juan|PR|San Juan|PR-San Juan
00934|STANDARD|Fort Buchanan|PR| |PR-
00935|UNIQUE|San Juan|PR|San Juan|PR-San Juan
00936|PO BOX|San Juan|PR| |PR-
00937|PO BOX|San Juan|PR|San Juan|PR-San Juan
00939|UNIQUE|San Juan|PR|San Juan|PR-San Juan
00940|PO BOX|San Juan|PR| |PR-
00949|STANDARD|Toa Baja|PR| |PR-
00950|PO BOX|Toa Baja|PR| |PR-
00951|PO BOX|Toa Baja|PR| |PR-
00952|STANDARD|Sabana Seca|PR|Toa Baja|PR-Toa Baja
00953|STANDARD|Toa Alta|PR|Toa Alta|PR-Toa Alta
00954|PO BOX|Toa Alta|PR|Toa Alta|PR-Toa Alta
00955|PO BOX|San Juan|PR|San Juan|PR-San Juan
00956|STANDARD|Bayamon|PR|BayamÌÄå_n|PR-BayamÌÄå_n
00957|STANDARD|Bayamon|PR|BayamÌÄå_n|PR-BayamÌÄå_n
00958|PO BOX|Bayamon|PR|BayamÌÄå_n|PR-BayamÌÄå_n
00959|STANDARD|Bayamon|PR|BayamÌÄå_n|PR-BayamÌÄå_n
00960|PO BOX|Bayamon|PR| |PR-
00961|STANDARD|Bayamon|PR|BayamÌÄå_n|PR-BayamÌÄå_n
00962|STANDARD|Catano|PR|CataÌÄå±o|PR-CataÌÄå±o
00963|PO BOX|Catano|PR|CataÌÄå±o|PR-CataÌÄå±o
00965|STANDARD|Guaynabo|PR|Guaynabo|PR-Guaynabo
00966|STANDARD|Guaynabo|PR|Guaynabo|PR-Guaynabo
00968|STANDARD|Guaynabo|PR|Guaynabo|PR-Guaynabo
00969|STANDARD|Guaynabo|PR|Guaynabo|PR-Guaynabo
00970|PO BOX|Guaynabo|PR| |PR-
00971|STANDARD|Guaynabo|PR|Guaynabo|PR-Guaynabo
00975|UNIQUE|San Juan|PR|San Juan|PR-San Juan
00976|STANDARD|Trujillo Alto|PR|Trujillo Alto|PR-Trujillo Alto
00977|PO BOX|Trujillo Alto|PR| |PR-
00978|PO BOX|Saint Just|PR|San Juan|PR-San Juan
00979|STANDARD|Carolina|PR|Carolina|PR-Carolina
00981|PO BOX|Carolina|PR|Carolina|PR-Carolina
00982|STANDARD|Carolina|PR|Carolina|PR-Carolina
00983|STANDARD|Carolina|PR|Carolina|PR-Carolina
00984|PO BOX|Carolina|PR|Carolina|PR-Carolina
00985|STANDARD|Carolina|PR|Carolina|PR-Carolina
00986|PO BOX|Carolina|PR|Carolina|PR-Carolina
00987|STANDARD|Carolina|PR|Carolina|PR-Carolina
00988|PO BOX|Carolina|PR|Carolina|PR-Carolina
01001|STANDARD|Agawam|MA|Hampden County|MA-Hampden County
01002|STANDARD|Amherst|MA|Hampshire County|MA-Hampshire County
01003|PO BOX|Amherst|MA|Hampshire County|MA-Hampshire County
01004|PO BOX|Amherst|MA|Hampshire County|MA-Hampshire County
01005|STANDARD|Barre|MA|Worcester County|MA-Worcester County
01007|STANDARD|Belchertown|MA|Hampshire County|MA-Hampshire County
01008|STANDARD|Blandford|MA|Hampden County|MA-Hampden County
01009|PO BOX|Bondsville|MA|Hampden County|MA-Hampden County
01010|STANDARD|Brimfield|MA|Hampden County|MA-Hampden County
01011|STANDARD|Chester|MA|Hampden County|MA-Hampden County
01012|STANDARD|Chesterfield|MA|Hampshire County|MA-Hampshire County
01013|STANDARD|Chicopee|MA|Hampden County|MA-Hampden County
01014|PO BOX|Chicopee|MA|Hampden County|MA-Hampden County
01020|STANDARD|Chicopee|MA|Hampden County|MA-Hampden County
01021|PO BOX|Chicopee|MA|Hampden County|MA-Hampden County
01022|STANDARD|Chicopee|MA|Hampden County|MA-Hampden County
01026|STANDARD|Cummington|MA|Hampshire County|MA-Hampshire County
01027|STANDARD|Easthampton|MA|Hampshire County|MA-Hampshire County
01028|STANDARD|East Longmeadow|MA|Hampden County|MA-Hampden County
01029|PO BOX|East Otis|MA|Berkshire County|MA-Berkshire County
01030|STANDARD|Feeding Hills|MA|Hampden County|MA-Hampden County
01031|STANDARD|Gilbertville|MA|Worcester County|MA-Worcester County
01032|STANDARD|Goshen|MA|Hampshire County|MA-Hampshire County
01033|STANDARD|Granby|MA|Hampshire County|MA-Hampshire County
01034|STANDARD|Granville|MA|Hampden County|MA-Hampden County
01035|STANDARD|Hadley|MA|Hampshire County|MA-Hampshire County
01036|STANDARD|Hampden|MA|Hampden County|MA-Hampden County
01037|PO BOX|Hardwick|MA|Worcester County|MA-Worcester County
01038|STANDARD|Hatfield|MA|Hampshire County|MA-Hampshire County
01039|STANDARD|Haydenville|MA|Hampshire County|MA-Hampshire County
01040|STANDARD|Holyoke|MA|Hampden County|MA-Hampden County
01041|PO BOX|Holyoke|MA|Hampden County|MA-Hampden County
01050|STANDARD|Huntington|MA|Hampshire County|MA-Hampshire County
01053|STANDARD|Leeds|MA|Hampshire County|MA-Hampshire County
01054|STANDARD|Leverett|MA|Franklin County|MA-Franklin County
01056|STANDARD|Ludlow|MA|Hampden County|MA-Hampden County
01057|STANDARD|Monson|MA|Hampden County|MA-Hampden County
01059|PO BOX|North Amherst|MA|Hampshire County|MA-Hampshire County
01060|STANDARD|Northampton|MA|Hampshire County|MA-Hampshire County
01061|PO BOX|Northampton|MA|Hampshire County|MA-Hampshire County
01062|STANDARD|Florence|MA|Hampshire County|MA-Hampshire County
01063|UNIQUE|Northampton|MA|Hampshire County|MA-Hampshire County
01066|PO BOX|North Hatfield|MA|Franklin County|MA-Franklin County
01068|STANDARD|Oakham|MA|Worcester County|MA-Worcester County
01069|STANDARD|Palmer|MA|Hampden County|MA-Hampden County
01070|STANDARD|Plainfield|MA|Hampshire County|MA-Hampshire County
01071|STANDARD|Russell|MA|Hampden County|MA-Hampden County
01072|STANDARD|Shutesbury|MA|Franklin County|MA-Franklin County
