State|ZCTACode|ZipCode|header1:float|header2:float|header3:float|header4:float|header5:float|header6:float|header7:float|header8:float|header9:float|header10:float
Alabama|ZCTA 35115|35115|5226|65.9|27.4|48.3|12.9|34.1|26.2|8.9|2.52|3.06
Alabama|ZCTA 35116|35116|1628|77.6|30.7|63.3|10|22.4|19.8|9.5|2.6|2.98
Alabama|ZCTA 35117|35117|2032|78.2|31.3|66.3|8.9|21.8|19.6|8.6|2.64|3.03
Alabama|ZCTA 35118|35118|1219|74.3|23.2|55.3|13.7|25.7|22.9|12.1|2.57|3.01
Alabama|ZCTA 35119|35119|51|62.7|17.6|27.5|29.4|37.3|33.3|13.7|2.27|2.88
Alabama|ZCTA 35120|35120|4967|79.5|36.2|64.2|10.5|20.5|17.3|5.1|2.79|3.13
Alabama|ZCTA 35121|35121|5834|71.4|29.1|57|9.8|28.6|25.5|11.8|2.6|3.12
Alabama|ZCTA 35124|35124|8813|71.3|33|59.3|8.5|28.7|23.8|6.5|2.6|3.11
Alabama|ZCTA 35125|35125|3947|71.1|32.3|50|15.1|28.9|25|9|2.59|3.07
Alabama|ZCTA 35126|35126|7908|79|32|62.9|11.7|21|17.9|6.7|2.75|3.11
Alabama|ZCTA 35127|35127|3708|77|32.2|58.4|14.4|23|21|9.8|2.68|3.09
Alabama|ZCTA 35128|35128|4124|71.6|27.2|55.5|11.8|28.4|24.4|9.3|2.46|2.91
Alabama|ZCTA 35130|35130|1319|69.8|23|54.2|10.4|30.2|26.2|11|2.45|2.96
Alabama|ZCTA 35131|35131|1602|72.2|28.9|54.4|12.9|27.8|24.6|10.8|2.6|3.08
Alabama|ZCTA 35133|35133|1510|76.4|29.5|61|10.6|23.6|20.8|8.1|2.59|2.98
Alabama|ZCTA 35135|35135|736|72.7|29.2|59|10.1|27.3|23.6|7.7|2.46|2.91
Alabama|ZCTA 35136|35136|782|64.8|20.1|51.4|9.5|35.2|32.1|14.6|2.19|2.73
Alabama|ZCTA 35139|35139|53|67.9|30.2|47.2|15.1|32.1|20.8|13.2|2.83|3.08
Alabama|ZCTA 35143|35143|1398|69.2|21.5|55.9|9.7|30.8|27.1|9.8|2.35|2.82
Alabama|ZCTA 35146|35146|3604|78.4|32.6|65.6|9.4|21.6|19.3|8.2|2.64|3.02
Alabama|ZCTA 35147|35147|2075|76|37.3|62|9.3|24|20.3|4.9|2.63|3.05
Alabama|ZCTA 35148|35148|1085|67.7|25.7|49.2|12.9|32.3|28.2|12.5|2.47|3.01
Alabama|ZCTA 35149|35149|251|65.3|27.1|46.6|14.3|34.7|31.1|12.7|2.51|3.16
Alabama|ZCTA 35150|35150|7602|65.8|27.2|42.3|18.6|34.2|30.3|12|2.4|2.96
Alabama|ZCTA 35151|35151|3040|72.5|27.5|57.5|10.3|27.5|24.2|9.9|2.51|2.97
Alabama|ZCTA 35160|35160|10132|67.7|25.4|42.8|20|32.3|28.5|10.6|2.42|2.93
Alabama|ZCTA 35171|35171|1201|77.8|35|61.9|10.4|22.2|19|8.3|2.72|3.07
Alabama|ZCTA 35172|35172|1181|73.7|28.5|56.8|10.8|26.3|22.7|10.3|2.53|2.94
Alabama|ZCTA 35173|35173|9121|80.4|35.9|68|9|19.6|17.1|7.3|2.74|3.09
Alabama|ZCTA 35175|35175|2022|74.2|26.7|60.3|9.1|25.8|22.1|8.8|2.49|2.88
Alabama|ZCTA 35176|35176|379|69.9|23.2|55.1|11.1|30.1|25.1|7.4|2.43|2.91
Alabama|ZCTA 35178|35178|1355|71.7|25.7|52.8|15.6|28.3|25.7|8.9|2.49|2.97
Alabama|ZCTA 35179|35179|3472|73.8|29.4|58.4|9.5|26.2|22.8|9.4|2.58|3.02
Alabama|ZCTA 35180|35180|5208|76.7|31.5|61.7|10.6|23.3|20.1|7.2|2.64|3.03
Alabama|ZCTA 35183|35183|276|73.6|25.7|61.2|7.2|26.4|22.1|12|2.56|3.01
Alabama|ZCTA 35184|35184|2162|73.9|30.1|54.9|12.8|26.1|22.8|8.9|2.7|3.17
Alabama|ZCTA 35186|35186|1849|76.6|30.5|64.4|8.2|23.4|21.2|9.4|2.64|3.05
Alabama|ZCTA 35188|35188|951|79.1|32.1|63.1|10.1|20.9|16.2|5.3|2.81|3.13
Alabama|ZCTA 35203|35203|1517|24.6|10.9|8.6|14|75.4|66.3|16.9|1.51|2.6
Alabama|ZCTA 35204|35204|4580|53.5|18|17.9|28.9|46.5|40.7|13.6|2.23|3.04
Alabama|ZCTA 35205|35205|9806|29.6|10.8|16.1|10.1|70.4|56.7|9.2|1.72|2.72
Alabama|ZCTA 35206|35206|6438|64.2|26.2|29.2|29.3|35.8|29.5|9.3|2.58|3.23
Alabama|ZCTA 35207|35207|3537|64.9|24.2|22.4|35.8|35.1|31.5|12|2.54|3.2
Alabama|ZCTA 35208|35208|5699|66.9|26|26.8|34.6|33.1|29.1|7.7|2.59|3.2
Alabama|ZCTA 35209|35209|12888|51.4|27.1|33|14.1|48.6|38.3|9.5|2.2|2.97
Alabama|ZCTA 35210|35210|6020|60|22.2|41.9|13.8|40|34.2|14|2.25|2.91
Alabama|ZCTA 35211|35211|11369|57.9|20.7|22.4|30.4|42.1|36.4|12.6|2.29|3.02
Alabama|ZCTA 35212|35212|4745|57.1|23.7|23.6|27.9|42.9|34.2|7.8|2.38|3.12
Alabama|ZCTA 35213|35213|5570|64|30.4|54.1|8.2|36|30.5|11.7|2.37|3.01
Alabama|ZCTA 35214|35214|7770|68.6|26.4|37.7|25.9|31.4|28.1|9.9|2.49|3.04
Alabama|ZCTA 35215|35215|17891|69.8|35.6|37|27.9|30.2|26.3|7.7|2.62|3.15
Alabama|ZCTA 35216|35216|15500|58.8|29.8|42.3|12.7|41.2|34.1|10.8|2.33|3.02
Alabama|ZCTA 35217|35217|5234|66|26.7|31.9|28.1|34|29.8|11.7|2.6|3.23
Alabama|ZCTA 35218|35218|2896|62|25|21.6|33.9|38|33|7.8|2.52|3.25
Alabama|ZCTA 35221|35221|2037|61.5|17.1|22|33.3|38.5|35.1|13.7|2.34|3.05
Alabama|ZCTA 35222|35222|3752|46.8|19.3|29.1|14.4|53.2|42.6|10.5|2.05|2.9
Alabama|ZCTA 35223|35223|4394|73.4|32.2|66.2|5.6|26.6|23.8|10.1|2.51|3
Alabama|ZCTA 35224|35224|2333|67.9|25.2|32.7|28.2|32.1|28.3|10.2|2.61|3.19
Alabama|ZCTA 35226|35226|12494|73.1|31.6|61.9|8.6|26.9|22.6|8.4|2.51|2.96
Alabama|ZCTA 35228|35228|4042|66.3|27.7|28.8|31.7|33.7|30.4|11.3|2.55|3.18
Alabama|ZCTA 35229|35229|0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0
Alabama|ZCTA 35233|35233|555|27.2|13.5|17.3|6.8|72.8|41.6|0.4|2.13|3.06
Alabama|ZCTA 35234|35234|2252|56.5|18.4|17.8|30.4|43.5|36.2|11|2.39|3.14
Alabama|ZCTA 35235|35235|7917|66.3|29.4|45.3|17|33.7|29.5|9.9|2.44|3.04
Alabama|ZCTA 35242|35242|19942|68.4|33.1|58.4|7.5|31.6|26.7|4.9|2.48|3.04
Alabama|ZCTA 35243|35243|7887|57.5|23.1|48.9|6.4|42.5|34.8|10|2.2|2.89
Alabama|ZCTA 35244|35244|12713|70.3|35|58.5|9|29.7|24.8|6.4|2.53|3.07
Alabama|ZCTA 35254|35254|98|49|17.3|28.6|17.3|51|41.8|17.3|2.09|2.94
Alabama|ZCTA 35401|35401|14390|37.9|14.2|15.7|18.1|62.1|39.6|8.6|2.14|2.99
Alabama|ZCTA 35404|35404|8539|53.7|23|30.5|18|46.3|30.3|7.3|2.43|3.04
Alabama|ZCTA 35405|35405|15865|61.7|28.9|40|17.6|38.3|30.7|6.4|2.37|2.98
Alabama|ZCTA 35406|35406|5821|65|28|54.9|7.3|35|28.9|9.8|2.38|2.98
Alabama|ZCTA 35441|35441|473|60.3|20.7|40.6|15.6|39.7|35.7|16.3|2.24|2.94
Alabama|ZCTA 35442|35442|2002|64.1|26.5|31.8|27|35.9|33.6|13.3|2.44|3.12
Alabama|ZCTA 35443|35443|837|61.2|27.4|28.2|26.9|38.8|36.1|12.7|2.4|3.16
Alabama|ZCTA 35444|35444|1335|76.3|33.9|58.5|12.3|23.7|19|6.1|2.72|3.06
Alabama|ZCTA 35446|35446|868|75.1|31.1|57.1|12.3|24.9|22.1|9.3|2.57|2.98
Alabama|ZCTA 35447|35447|1392|64.3|25.7|39.2|20.3|35.7|32.9|13.9|2.36|2.99
Alabama|ZCTA 35452|35452|1442|76.4|32|61.7|9.2|23.6|20|7.3|2.69|3.09
Alabama|ZCTA 35453|35453|4340|71|31.1|51.3|14.3|29|23.7|5.8|2.56|3.03
Alabama|ZCTA 35456|35456|1401|73.7|30.4|56|12.8|26.3|22.3|8.5|2.68|3.15
Alabama|ZCTA 35458|35458|220|75.9|30.9|57.3|14.5|24.1|19.5|9.5|2.7|3.07
Alabama|ZCTA 35459|35459|362|64.1|22.1|40.6|20.2|35.9|34.8|13.3|2.3|2.97
Alabama|ZCTA 35460|35460|339|64.3|25.1|32.4|27.7|35.7|34.8|12.4|2.46|3.22
Alabama|ZCTA 35461|35461|864|67.7|20.9|50.9|12.6|32.3|30.1|11.6|2.26|2.79
Alabama|ZCTA 35462|35462|2112|63.9|23.2|34.4|25.1|36.1|33.5|13.6|2.38|3.05
Alabama|ZCTA 35463|35463|686|74.1|28|55|14|25.9|23.2|8|2.53|2.97
Alabama|ZCTA 35464|35464|252|67.5|31|26.2|34.9|32.5|30.6|10.3|2.6|3.25
Alabama|ZCTA 35466|35466|2361|73.1|31|55.7|13.6|26.9|24.6|11.6|2.57|3.06
Alabama|ZCTA 35469|35469|99|61.6|17.2|45.5|12.1|38.4|38.4|13.1|2.23|2.92
Alabama|ZCTA 35470|35470|2183|56.4|23|31.5|20.2|43.6|34.7|11.2|2.25|2.94
Alabama|ZCTA 35473|35473|6221|66.3|26.6|51.1|11.7|33.7|28.2|8.8|2.38|2.94
Alabama|ZCTA 35474|35474|2317|73.7|33.1|53.8|15.7|26.3|22.8|8.1|2.63|3.1
Alabama|ZCTA 35475|35475|5393|79|37.1|66.5|8.7|21|18.4|6.5|2.69|3.06
Alabama|ZCTA 35476|35476|3272|54.8|25.3|26.2|23.7|45.2|37|12.9|2.3|3.01
Alabama|ZCTA 35477|35477|136|58.1|22.8|28.7|24.3|41.9|36|12.5|2.46|3.33
Alabama|ZCTA 35480|35480|524|72.1|28.1|54.4|13.7|27.9|24|9.4|2.56|3.04
Alabama|ZCTA 35481|35481|1529|66.7|24.6|43.8|16.7|33.3|30.9|13.2|2.35|2.92
Alabama|ZCTA 35490|35490|1395|73.3|36.1|57.1|10.1|26.7|21.6|5.8|2.76|3.23
Alabama|ZCTA 35501|35501|4158|63.8|25.7|41.3|16.9|36.2|31.6|13.8|2.39|2.98
Alabama|ZCTA 35503|35503|3560|73.6|27.6|57.1|11.7|26.4|22.8|9.8|2.55|2.98
Alabama|ZCTA 35504|35504|5388|72.5|28.3|57|10.9|27.5|24|10.7|2.49|2.93
Alabama|ZCTA 35540|35540|1001|70.9|29.1|57.2|9.4|29.1|26.9|11.9|2.41|2.91
Alabama|ZCTA 35541|35541|1541|72.6|22.7|60.2|8.8|27.4|23.6|9.7|2.33|2.74
Alabama|ZCTA 35542|35542|407|74.9|26.8|60.7|8.1|25.1|21.9|9.8|2.51|2.91
Alabama|ZCTA 35543|35543|462|73.6|27.7|53.5|13.6|26.4|23.4|10|2.46|2.89
Alabama|ZCTA 35544|35544|292|69.2|19.5|54.1|12|30.8|28.1|15.1|2.3|2.81
Alabama|ZCTA 35545|35545|45|62.2|24.4|51.1|4.4|37.8|28.9|17.8|2.22|2.75
Alabama|ZCTA 35546|35546|1553|71.1|29.2|54.9|11.3|28.9|26.7|11.7|2.51|3.02
Alabama|ZCTA 35548|35548|692|67.6|24.9|51.6|11.7|32.4|29.5|14|2.25|2.75
Alabama|ZCTA 35549|35549|1793|68.3|25.4|48.7|14.2|31.7|28.8|13.1|2.41|2.94
Alabama|ZCTA 35550|35550|2267|68|26.1|45.2|16.8|32|28.6|12|2.42|2.94
Alabama|ZCTA 35552|35552|426|71.4|27|56.1|9.9|28.6|26.5|12.9|2.45|2.93
Alabama|ZCTA 35553|35553|1875|70.4|27.3|53.8|11.7|29.6|26.6|11.8|2.4|2.86
Alabama|ZCTA 35554|35554|482|71.8|24.7|58.1|9.3|28.2|24.1|12.2|2.41|2.86
Alabama|ZCTA 35555|35555|4240|67.7|25.5|49.5|14|32.3|28.9|12.5|2.33|2.86
Alabama|ZCTA 35563|35563|1850|67.8|25.5|51|12.5|32.2|29.8|14.1|2.3|2.81
Alabama|ZCTA 35564|35564|997|69|26.8|51.3|12.5|31|27.8|14.6|2.37|2.84
Alabama|ZCTA 35565|35565|5549|68.5|27|51.7|11.9|31.5|27.9|12.4|2.41|2.92
Alabama|ZCTA 35570|35570|4449|68.3|26.1|51.5|12.3|31.7|28.8|12.6|2.36|2.87
Alabama|ZCTA 35571|35571|375|70.1|26.7|54.9|9.3|29.9|28|12|2.39|2.9
Alabama|ZCTA 35572|35572|469|75.3|26.4|64|6.4|24.7|23|11.1|2.41|2.8
Alabama|ZCTA 35574|35574|653|67.8|21.1|56.4|7.7|32.2|28.9|15.3|2.31|2.83
Alabama|ZCTA 35575|35575|420|71.9|25.7|58.1|10.5|28.1|25.5|13.6|2.42|2.9
Alabama|ZCTA 35576|35576|1365|70.7|25.2|55.9|11.2|29.3|26.6|12.9|2.36|2.84
Alabama|ZCTA 35578|35578|2263|73.5|28.5|57.6|10.4|26.5|23.1|10.6|2.58|3.02
Alabama|ZCTA 35579|35579|1241|72.1|25.6|54.1|12.6|27.9|24.3|11.4|2.52|2.97
Alabama|ZCTA 35580|35580|1514|70.1|25.2|52|12.8|29.9|25.8|11.5|2.5|2.99
Alabama|ZCTA 35581|35581|2318|72.1|28.2|56.4|10.8|27.9|24.5|11|2.49|2.96
Alabama|ZCTA 35582|35582|1750|67.7|26.3|49.8|13.2|32.3|29.8|14.3|2.34|2.86
Alabama|ZCTA 35584|35584|170|70.6|20|43.5|21.8|29.4|28.2|14.7|2.71|3.32
Alabama|ZCTA 35585|35585|546|78.8|29.9|64.8|10.1|21.2|19.4|8.4|2.6|2.95
Alabama|ZCTA 35586|35586|1890|68.7|25.8|53.6|10.9|31.3|29.5|13.7|2.35|2.9
Alabama|ZCTA 35587|35587|426|71.1|21.1|55.4|9.6|28.9|24.2|10.6|2.41|2.84
Alabama|ZCTA 35592|35592|1903|68.4|28.8|50.2|13.6|31.6|29.5|12.5|2.35|2.89
Alabama|ZCTA 35593|35593|775|73.2|28|58.5|9.7|26.8|24.9|12.5|2.47|2.92
Alabama|ZCTA 35594|35594|3200|68.8|26.6|52.8|11.5|31.2|28|13.8|2.39|2.91
Alabama|ZCTA 35601|35601|13266|64.1|28.6|41.3|17.3|35.9|31.4|12.3|2.47|3.09
Alabama|ZCTA 35603|35603|12554|70.8|30|54.8|12.2|29.2|25.8|9.3|2.42|2.91
Alabama|ZCTA 35610|35610|913|72.7|26|60.9|8.2|27.3|24.3|11.1|2.47|2.95
Alabama|ZCTA 35611|35611|10482|64.4|26.8|45.1|14.6|35.6|31.4|11.7|2.36|2.95
Alabama|ZCTA 35613|35613|6967|78.6|33.1|67.3|7.9|21.4|18.7|6.8|2.61|2.97
Alabama|ZCTA 35614|35614|2889|74.4|30.7|58.4|11|25.6|22.5|8.3|2.58|3.01
Alabama|ZCTA 35616|35616|1705|69.7|23.3|52.5|12.7|30.3|27|13.7|2.37|2.86
Alabama|ZCTA 35618|35618|845|63.3|23.4|37.8|21.8|36.7|34.1|11.8|2.21|2.83
Alabama|ZCTA 35619|35619|1968|75.6|31.4|60.7|9.3|24.4|21.1|8.1|2.6|3
Alabama|ZCTA 35620|35620|3317|77|34.2|60.8|10.6|23|19.7|7.2|2.66|3.03
Alabama|ZCTA 35621|35621|1093|76.5|33.5|63.8|9|23.5|20.7|7.8|2.61|3.01
Alabama|ZCTA 35622|35622|2708|74.6|30.9|58.1|11.4|25.4|21.7|8.9|2.61|3.03
Alabama|ZCTA 35630|35630|14705|52.9|21.7|33.1|15.9|47.1|39.4|14|2.1|2.83
Alabama|ZCTA 35633|35633|8317|74.9|28.7|59.7|10.9|25.1|22|9.5|2.51|2.91
Alabama|ZCTA 35634|35634|3862|77.1|27.7|64.9|8.5|22.9|20|9.1|2.51|2.89
Alabama|ZCTA 35640|35640|9624|73.6|32|58.2|10.8|26.4|23.5|9.6|2.52|2.96
Alabama|ZCTA 35643|35643|1175|72.4|28.3|52.9|14.7|27.6|24.3|9.2|2.5|2.94
Alabama|ZCTA 35645|35645|5401|77.4|32|64|9.6|22.6|20.2|8.4|2.58|2.97
Alabama|ZCTA 35646|35646|1901|70.3|24.3|49.9|15.6|29.7|26.9|11.4|2.44|2.95
Alabama|ZCTA 35647|35647|409|73.6|32.3|61.1|9.3|26.4|23.2|12.5|2.52|2.97
Alabama|ZCTA 35648|35648|1459|73.3|31.3|61.1|8.3|26.7|24.2|11|2.49|2.97
Alabama|ZCTA 35650|35650|5576|72.3|29.7|56|11.7|27.7|25.3|11.1|2.46|2.93
Alabama|ZCTA 35651|35651|505|77|32.3|65.5|8.1|23|21|8.9|2.6|3.02
